name_english,id
Red Potion,501
Orange Potion,502
Yellow Potion,503
White Potion,504
Blue Potion,505
Green Potion,506
Red Herb,507
Yellow Herb,508
White Herb,509
Blue Herb,510
Green Herb,511
Apple,512
Banana,513
Grape,514
Carrot,515
Potato,516
Meat,517
Honey,518
Milk,519
Hinalle Leaflet,520
Aloe Leaflet,521
Mastela Fruit,522
Holy Water,523
Panacea,525
Royal Jelly,526
Monster's Feed,528
Candy,529
Candy Cane,530
Apple Juice,531
Banana Juice,532
Grape Juice,533
Carrot Juice,534
Pumpkin,535
Ice Cream,536
Pet Food,537
Well-baked Cookie,538
Piece of Cake,539
Falcon Food,540
PecoPeco Food,541
Raw Fish,544
Condensed Red Potion,545
Condensed Yellow Potion,546
Condensed White Potion,547
Cheese,548
Yam,549
Rice Cake,550
Sushi,551
Ketupat,552
Bao,553
Mochi,554
Traditional Rice Cake,555
Rice Cake Stick,556
Neatly Sliced Rice Cake,557
Chocolate,558
Hand-made Chocolate,559
Handmade White Chocolate,560
White Chocolate,561
Doublecrust Swiss Fondue,562
Rice Ball,564
Vita500,565
Tom Yum Goong,566
Shrimp,567
Lemon,568
Novice Potion,569
Lucky Candy,570
Lucky Candy Cane,571
Lucky Cookie,572
Chocolate Drink,573
Egg,574
2nd Anniversary Cake,575
Prickly Fruit,576
Bag of Grain,577
Strawberry,578
Fresh Fish,579
Bread,580
Edible Mushroom,581
Orange,582
Ketupat Sayur,583
Fish Cake Soup,584
Brusti,585
Mother's Cake,586
Red Prickly Fruit,587
Spaghetti,588
Pizza,589
Pretzel,590
Caviar Pancake,591
Jam Pancake,592
Honey Pancake,593
Sour-Cream Pancake,594
Mushroom Pancake,595
Cute Strawberry-Choco,596
Lovely Choco-Tart,597
Light Red Potion,598
Light Orange Potion,599
Fly Wing,601
Butterfly Wing,602
Old Blue Box,603
Dead Branch,604
Anodyne,605
Aloevera,606
Yggdrasil Berry,607
Yggdrasil Seed,608
Amulet,609
Yggdrasil Leaf,610
Magnifier,611
Mini Furnace,612
Iron Hammer,613
Golden Hammer,614
Oridecon Hammer,615
Old Card Album,616
Old Purple Box,617
Worn Out Scroll,618
Unripe Apple,619
Orange Juice,620
Bitter Herb,621
Rainbow Carrot,622
Earthworm the Dude,623
Rotten Fish,624
Rusty Iron,625
Monster Juice,626
Sweet Milk,627
Well-Dried Bone,628
Singing Flower,629
Dew Laden Moss,630
Deadly Noxious Herb,631
Fatty Chubby Earthworm,632
Sweet Potato,633
Tropical Banana,634
Orc Trophy,635
No Recipient,636
Old Broom,637
Silver Knife of Chastity,638
Armlet of Obedience,639
Shining Stone,640
Contract in Shadow,641
Book of the Devil,642
Pet Incubator,643
Gift Box,644
Concentration Potion,645
Awakening Potion,656
Berserk Potion,657
Union of Tribe,658
Her Heart,659
Forbidden Red Candle,660
Soft Apron,661
Authoritative Badge,662
Korean Rice Cake,663
Red Envelope,668
Tempting Rice-Cake Soup,669
Bag of Gold Coins,670
Gold Coin,671
Bag of Bronze Coins,672
Bronze Coin,673
Mithril Coin,674
Silver Coin,675
Bag of Silver Coins,676
Platinum Coin,677
Poison Bottle,678
Pilule,679
Magic Carnation,680
Sweet Memory of Marriage,681
Distilled Fighting Spirit,682
Herb of Incantation,683
Durian,684
Ramadan,685
Level 3 Earth Spike,686
Level 5 Earth Spike,687
Level 3 Cold Bolt,688
Level 5 Cold Bolt,689
Level 3 Fire Bolt,690
Level 5 Fire Bolt,691
Level 3 Lightening Bolt,692
Level 5 Lightening Bolt,693
Level 3 Soul Strike,694
Level 5 Soul Strike,695
Level 1 Fire Ball,696
Level 5 Fire Ball,697
Level 1 Fire Wall,698
Level 5 Fire Wall,699
Level 1 Frost Diver,700
Ora Ora,701
Animal Gore,702
Hinalle,703
Aloe,704
Clover,705
Four Leaf Clover,706
Singing Plant,707
Ment,708
Izidor,709
Illusion Flower,710
Shoot,711
Flower,712
Empty Bottle,713
Emperium,714
Yellow Gemstone,715
Red Gemstone,716
Blue Gemstone,717
Garnet,718
Amethyst,719
Aquamarine,720
Emerald,721
Pearl,722
Ruby,723
Cursed Ruby,724
Sardonyx,725
Sapphire,726
Opal,727
Topaz,728
Zircon,729
1carat Diamond,730
2carat Diamond,731
3carat Diamond,732
Cracked Diamond,733
Red Frame,734
Chung Jah,735
China,736
Black Ladle,737
Pencil Case,738
Rouge,739
Puppet,740
Poring Doll,741
Chonchon Doll,742
Spore Doll,743
Bouquet,744
Wedding Bouquet,745
Glass Bead,746
Crystal Mirror,747
Witherless Rose,748
Frozen Rose,749
Baphomet Doll,750
Osiris Doll,751
Rocker Doll,752
Yoyo Doll,753
Raccoon Doll,754
Rough Oridecon,756
Rough Elunium,757
Daenggie,901
Tree Root,902
Reptile Tongue,903
Scorpion Tail,904
Stem,905
Pointed Scale,906
Resin,907
Spawn,908
Jellopy,909
Garlet,910
Scell,911
Zargon,912
Tooth of Bat,913
Fluff,914
Chrysalis,915
Feather of Birds,916
Talon,917
Sticky Webfoot,918
Animal Skin,919
Wolf Claw,920
Mushroom Spore,921
Orc's Fang,922
Evil Horn,923
Powder of Butterfly,924
Bill of Birds,925
Snake Scale,926
Insect Feeler,928
Immortal Heart,929
Rotten Bandage,930
Orcish Voucher,931
Skel-Bone,932
Memento,934
Shell,935
Scale Shell,936
Venom Canine,937
Sticky Mucus,938
Bee Sting,939
Grasshopper's Leg,940
Nose Ring,941
Yoyo Tail,942
Solid Shell,943
Horseshoe,944
Raccoon Leaf,945
Snail's Shell,946
Horn,947
Bear's Footskin,948
Feather,949
Heart of Mermaid,950
Fin,951
Cactus Needle,952
Stone Heart,953
Shining Scale,954
Worm Peeling,955
Gill,956
Decayed Nail,957
Horrendous Mouth,958
Stinky Scale,959
Nipper,960
Conch,961
Tentacle,962
Sharp Scale,963
Crab Shell,964
Clam Shell,965
Clam Flesh,966
Turtle Shell,967
Heroic Emblem,968
Gold,969
Alcohol,970
Detrimindexta,971
Karvodailnirol,972
Counteragent,973
Mixture,974
Scarlet Dyestuffs,975
Lemon Dyestuffs,976
Cobaltblue Dyestuffs,978
Darkgreen Dyestuffs,979
Orange Dyestuffs,980
Violet Dyestuffs,981
White Dyestuffs,982
Black Dyestuffs,983
Oridecon,984
Elunium,985
Anvil,986
Oridecon Anvil,987
Golden Anvil,988
Emperium Anvil,989
Red Blood,990
Crystal Blue,991
Wind of Verdure,992
Green Live,993
Flame Heart,994
Mystic Frozen,995
Rough Wind,996
Great Nature,997
Iron,998
Steel,999
Star Crumb,1000
Star Dust,1001
Iron Ore,1002
Coal,1003
Chivalry Emblem,1004
Hammer of Blacksmith,1005
Old Magicbook,1006
Necklace of Wisdom,1007
Necklace of Oblivion,1008
Hand of God,1009
Phracon,1010
Emveretarcon,1011
Frill,1012
Rainbow Shell,1013
Ant Jaw,1014
Tongue,1015
Rat Tail,1016
Mole Whiskers,1017
Mole Claw,1018
Trunk,1019
Black Hair,1020
Dokebi Horn,1021
Nine Tails,1022
Fish Tail,1023
Squid Ink,1024
Cobweb,1025
Acorn,1026
Porcupine Quill,1027
Mane,1028
Tiger Skin,1029
Tiger's Footskin,1030
Mantis Scythe,1031
Maneater Blossom,1032
Maneater Root,1033
Blue Hair,1034
Dragon Canine,1035
Dragon Scale,1036
Dragon Tail,1037
Little Evil Horn,1038
Little Evil Wing,1039
Elder Pixie's Moustache,1040
Lantern,1041
Bug Leg,1042
Orc Claw,1043
Zenorc's Fang,1044
Cultish Masque,1045
Scorpion Nipper,1046
Dead Medusa,1047
Horrendous Hair,1048
Skirt of Virgin,1049
Tendon,1050
Detonator,1051
Single Cell,1052
Ancient Tooth,1053
Ancient Lips,1054
Earthworm Peeling,1055
Grit,1056
Moth Dust,1057
Moth Wings,1058
Fabric,1059
Golden Hair,1060
Witched Starsand,1061
Jack o' Pumpkin,1062
Fang,1063
Reins,1064
Trap,1065
Fine-grained Trunk,1066
Solid Trunk,1067
Barren Trunk,1068
Orange Net Mushroom,1069
Orange Gooey Mushroom,1070
Unknown Test Tube,1071
Delivery Message,1072
Voucher,1073
Delivery Box,1081
Kafra Pass,1084
Morocc Solution,1088
Payon Solution,1089
Empty Test Tube,1092
Empty Potion Bottle,1093
Short Daenggie,1094
Needle of Alarm,1095
Round Shell,1096
Worn Out Page,1097
Manacles,1098
Worn-out Prison Uniform,1099
Sword,1101
Falchion,1104
Blade,1107
Rapier,1110
Scimitar,1113
Katana,1116
Tsurugi,1119
Ring Pommel Saber,1122
Haedonggum,1123
Orcish Sword,1124
Saber,1126
Flamberge,1129
Nagan,1130
Ice Falchion,1131
Edge,1132
Fireblend,1133
Caesar's Sword,1134
Cutlus,1135
Solar Sword,1136
Excalibur,1137
Mysteltainn,1138
Tirfing,1139
Byeollungum,1140
Immaterial Sword,1141
Jeweled Sword,1142
Gaia Sword,1143
Sashimi,1144
Holy Avenger,1145
Town Sword,1146
Star Dust Blade,1148
Slayer,1151
Bastard Sword,1154
Two-Handed Sword,1157
Broad Sword,1160
Balmung,1161
Claymore,1163
Muramasa,1164
Masamune,1165
Dragon Slayer,1166
Schweizersabel,1167
Zweihander,1168
Executioner,1169
Katzbalger,1170
Atlas Weapon,1175
Muscle Cutter,1176
Muramash,1177
