//===== rAthena Script ======================================= 
//= Umbala Fields Monster Spawn Script
//===== By: ================================================== 
//= Darkchild (1.0)
//===== Current Version: ===================================== 
//= 1.4
//===== Compatible With: ===================================== 
//= rAthena Project; RO Episode 6+
//===== Additional Comments: ================================= 
//= 1.3 Official kRO 10.1 spawns [Playtester]
//= 1.4 More accurate spawns [Playtester]
//============================================================ 

//==================================================
// um_fild01 - Luluka Forest
//==================================================
um_fild01,0,0	monster	f0ë	1499,10
um_fild01,0,0	monster	pîH	1215,15
um_fild01,0,0	monster	åºÈÔ	1376,2
um_fild01,0,0	monster	î—–ì	1493,65
um_fild01,0,0	monster	u	1114,10
um_fild01,0,0	monster	 I	1080,10,180000,90000
um_fild01,0,0	monster	ÃI	1081,10,180000,90000
um_fild01,0,0	monster	I’I	1083,6,180000,90000

//==================================================
// um_fild02 - Hoomga Forest
//==================================================
um_fild02,0,0	monster	~ 	1104,10
um_fild02,0,0	monster	çK4	1214,5
um_fild02,0,0	monster	èa2ò	1494,30
um_fild02,0,0	monster	u	1114,20
um_fild02,0,0	monster	f0ë	1499,26
um_fild02,0,0	monster	ó®k9	1495,13
um_fild02,169,215,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,169,215,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,159,285,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,159,285,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,99,303,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,99,303,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,122,242,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,122,242,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,124,198,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,124,198,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,126,133,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,126,133,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,159,171,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,159,171,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,284,247,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,284,247,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,330,262,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,330,262,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,296,187,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,296,187,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,285,105,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,285,105,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,257,137,10,10	monster	ó®k9	1495,1,120000,60000
um_fild02,257,137,10,10	monster	f0ë	1499,2,120000,60000
um_fild02,360,320,20,30	monster	lº±	1118,3,180000,120000
um_fild02,0,0	monster	I	1078,5,180000,90000
um_fild02,0,0	monster	ÃI	1081,5,180000,90000

//==================================================
// um_fild03 - Kalala Swamp
//==================================================
um_fild03,0,0	monster	×i^r	1500,95
um_fild03,0,0	monster	:>;	1321,20
um_fild03,0,0	monster	wZº	1271,10
um_fild03,0,0	monster	Eòx	1259,1,3500000,1900000
um_fild03,0,0	monster	ÍI	1079,5,180000,90000
um_fild03,0,0	monster	 I	1080,10,180000,90000
um_fild03,0,0	monster	I’I	1083,2,180000,90000

//==================================================
// um_fild04 - Hoomga Jungle
//==================================================
um_fild04,0,0	monster	èa2ò	1494,30
um_fild04,0,0	monster	lbò	1128,15
um_fild04,0,0	monster	çK4	1214,2
um_fild04,0,0	monster	fHK	1498,7
um_fild04,264,293,10,10	monster	lbò	1128,2,1200000,60000
um_fild04,264,293,10,10	monster	èa2ò	1494,4,120000,60000
um_fild04,121,239,10,10	monster	èa2ò	1494,2,120000,60000
um_fild04,91,79,10,10	monster	èa2ò	1494,2,120000,60000
um_fild04,244,339,10,10	monster	èa2ò	1494,2,120000,60000
um_fild04,295,93,10,10	monster	èa2ò	1494,2,120000,60000
um_fild04,118,237,10,10	monster	èa2ò	1494,2,120000,60000
um_fild04,118,237,10,10	monster	lbò	1128,1,120000,60000
um_fild04,311,285,10,10	monster	èa2ò	1494,2,120000,60000
um_fild04,311,285,10,10	monster	lbò	1128,1,120000,60000
um_fild04,206,188,10,10	monster	èa2ò	1494,2,120000,60000
um_fild04,206,188,10,10	monster	lbò	1128,1,120000,60000
um_fild04,239,245,10,10	monster	èa2ò	1494,2,120000,60000
um_fild04,239,245,10,10	monster	lbò	1128,1,120000,60000
um_fild04,239,245,10,10	monster	fHK	1498,1,300000,60000
um_fild04,91,79,10,10	monster	fHK	1498,1,300000,60000
um_fild04,295,93,10,10	monster	fHK	1498,1,300000,60000
um_fild04,0,0	monster	I	1078,5,180000,90000
um_fild04,0,0	monster	ÃI	1081,5,180000,90000
